artist_id,name,spotify_genres_raw,genre
5e5bd0bdf80d2addd8f2bd,ABREU,,
e6eeef69212da4de9f8841,ABS-CBN Music All Star,,
24fc8ebc7a5e665922a563,Ab-Soul,,
dac0a9dcf476624078ca01,Abudu,,
7d2fd320727f88c9c68b38,Abyusif,,
f4915a0f9c0adb3aaeb3ba,acab beats,,
2ced0a8787e05626858dfd,Accaoui,,
d924ae6948d8b7f2d5c4f3,Acda en de Munnik,,
2284399857f7b5e1b8ceec,AC/DC,,
d8e2148f1db69b15a7ea17,Ace of Base,,
6f848176a90e46e761dc35,Acha Septriasa,,
8d55bcf5cabbcb2e1dd344,Acheh,,
0f8da4617e275fd5b590c6,Achille Lauro,,
e1979485cba4db7b974111,Achint,,
e1a61c07c1135aa91b4a42,AchtVier,,
285f27ca5caf36da7c07ad,Acid Danee,,
46c4ac930afb89aa5c8546,ADAAM,,
7efd721c8bfff2937c6623,Adam,,
f0ab48f0c8d649fe963113,Adamlar,,
6cbb07d7627a02a0e17dbf,Adam Mišík,,
cf74153d0508d028defd06,Adam Port,,
46d004c7df583c0950c2c1,Adamson,,
02113890295ffbe91e6a39,Adam Woods,,
a9a6fdf7080bded60e144f,Adan La Amenaza,,
4a1db7c2d8fe83a56177dc,Adash,,
0ce5c0149ce6ee3054cbfc,Addison Rae,,
67354d76887b0e977c6b4e,Ade Govinda,,
e65554b80c25899583370e,Adekunle Gold,,
6600d6fe20b991864f7e2c,Adel,,
a5c59c0315098e6d67bb57,Adele,,
129bbec1b9a54414613523,AdelinMM,,
5bd32a1fd9ead91729e8c6,Aden Foyer,,
46bcc8c59060d2fb7e949e,Adexe & Nau,,
0b0967f996505e6b483d02,Adexmimaxx,,
e782a7fe65ecc7bfb859d6,ADF Samski,,
b509760041ff834932d250,ADH,,
d98d9168137ccf9c6fb4ad,ADI,,
b800f922d2ff54898ed018,Adi Bity,,
b0d73a3ac496141312791e,Adie,,
38a8d1e58f48fafb1c4338,Adil C,,
8646d0073bc9c3e02af3f7,Aditotoro,,
a24c730a3e3d317cd580ef,Aditya A,,
872ca06dce450ab3dfdbaf,Aditya Gadhvi,,
e607f7bce22dd7a820ca8e,Aditya Rikhari,,
28eb019ccf08c1dd2ae45c,Aditya Sharma,,
db1e519447605c73b55ccf,Adnan Dhool,,
965583ee48e4e1a90d22b3,Adnan Sami,,
d67acde00647e8f381460e,Adnin Roslan,,
6a3a4d21966b4ef5988214,Ado,,
3346be8cd70ca06df368ce,Adolescent's Orquesta,,
d2ba8f2b35bd9865a9378a,Adolf Fredriks Flickkör,,
4c115e23a060653471d590,Adolf Fredriks Musikklasser,,
477ef0362e53e584fe00e3,Adolf Fredriks Ungdomskör,,
3fa76bdddfbc8cac543258,Adolfo Echeverria,,
875c04d5751856ab5bd74e,Adolphson & Falk,,
fa5d692c69d62a8f415c48,Adomas Vyšniauskas,,
567cfea8637fb4167e653a,ADPT,,
495a2af8911d44558bd99c,Adrian Khalif,,
c8adac1eba4b604061f828,Adrian L Santos,,
8452673669548b74d615ae,Adrian Macéus,,
acfe4136d003f9d997e899,Adrian Norocel,,
e68a043301a8f6f605dfc2,Adriano Rhod,,
223544008969ae30c6e81e,Adrian Perez,,
55403ee65270966df6b90a,Adrina,,
89df653ebeac30fb1bff4f,ADSO,,
02f24b8834d1c34dd51ef3,Aeon,,
776f49e71610201237dbea,Aerix Wild,,
e8864da8cc09df16ad079c,Aerozen,,
31140908fbdfd52510ea74,aespa,,
7a84db4e860d8f38656ce4,A-Europa,,
2265a2cc35521144a3de84,Aezaddy,,
53baeb00d3e0c906403330,Afgan,,
40ab27df78afbff8a84a06,Afra,,
a8933d90250a2104562fc8,Afro Bros,,
d00d3138417f22caceeb9c,AFROJACK,,
7d638d634744622385f289,AfroSelecta-BBK,,
a54220e24919de03bce565,Afroto,,
c0a867753dd7cd1de0f689,Afsana Khan,,
15425a1b5e1a555fd69ce2,Afusic,,
6b712da7b7ccf80851beb0,AG,,
124c60d67c0fef3514062a,Agam Buhbut,,
e313dd1b739dee8ae00dd3,Agape,,
4154bce963370d404904c0,Agatino Romero,,
bacc5f2a831f9ac292ca21,Agnė Ditkovskytė,,
c2e2dbc810a8f7a5a9fdc1,Agnieszka Chylińska,,
e365ea9a3fd59be3e03f94,AgroPlay,,
40a0c603979e09d7ce4a7e,Agrupación EUPHORIA,,
92175f114d5c767f0181ab,Agua Marina,,
2d8960baa877b7fbf1e1b5,Aguero Banks,,
d684434167dfefcf24f689,Agus Padilla,,
1a4cb61026d1c03726e961,ÁGÚST,,
e032d0be14de51a3e934a2,Agust D,,
160a53fcc7832a3a59e689,Agzo,,
82dd1c27a6fa4f251f0eef,a-ha,,
f3a906de19d3307ece4106,Ahad Khan,,
664d2672b67735faefd25d,Ahiyan,,
f02aac9f4b493aeba41963,Ahmad Alsultan,,
e62e42d30ac710dd107863,Ahmed Al Ali,,
0fc1ddc916d873beedecf4,Ahmed Alwi,,
90f0824cdd59f1264bf128,Ahmed Bukhatir,,
5f2f35d2f21ed8d1cbdcb6,Ahmed Hamoody,,
61ffa742784ada44696df7,Ahmed Jahanzeb,,
7da5fb51e202b7a375361b,Ahmed Kamel,,
fdc2393f47cf2d467ac617,Ahmed Saad,,
74386723c5dff07295d17f,Ahmed Santa,,
46c0c8e63a9fa41295e14e,AHTI,,
0a40e3c91a3a55c9a37428,AI,,
45f558d650894d8f9ef822,Aiba,,
77f20779238297b0e96432,Aida,,
22a491975dd2499fc666ac,Aiden Smith,,
73bcba1e3dfcf60abf7aaa,AIGEL,,
543219d3f484485cb72b54,AikaPoliisi,,
4577c26c436a6c817fdc4c,aiko,,
c3d2932936d42b35cfeb4f,Aiko,,
